iter	Passed	Remaining
256	545239	303382
257	547183	301162
258	549265	299020
259	551276	296840
260	553531	294792
261	555570	292628
262	557644	290483
263	559895	288431
264	561992	286298
265	564157	284199
266	566307	282093
267	568422	279969
268	570414	277785
269	572417	275608
270	574306	273378
271	576341	271219
272	578334	269042
273	580398	266898
274	582463	264755
275	584475	262590
276	586407	260390
277	588238	258147
278	590209	255969
279	592257	253824
280	593981	251543
281	595964	249375
282	597879	247179
283	599817	244996
284	601785	242825
285	603924	240725
286	605895	238558
287	607968	236432
288	610133	234341
289	611988	232133
290	614013	229991
291	616207	227912
292	618172	225749
293	620203	223610
294	622282	221490
295	624358	219369
296	626415	217241
297	628556	215143
298	630937	213126
299	633054	211018
300	635375	208977
301	637591	206900
302	639963	204872
303	642403	202864
304	644631	200787
305	646888	198717
306	648990	196599
307	651269	194534
308	653498	192454
309	655628	190343
310	657928	188281
311	660319	186243
312	662182	184057
313	663920	181838
314	665583	179601
315	667221	177362
316	668883	175133
317	670836	172983
318	672452	170748
319	674170	168542
320	675975	166361
321	677642	164149
322	679375	161956
323	681041	159750
324	682933	157600
325	684544	155387
326	686073	153160
327	687185	150845
328	688343	148548
329	689452	146247
330	690647	143971
331	692063	141747
332	693337	139500
333	694492	137235
334	695754	134997
335	696987	132759
336	698232	130530
337	699459	128303
338	700592	126065
339	702139	123906
340	703421	121706
341	704671	119505
342	705885	117304
343	707234	115131
344	708457	112942
345	709639	110752
346	710738	108556
347	711941	106382
348	713213	104223
349	714446	102063
350	715664	99907
351	716741	97737
352	717923	95587
353	719219	93457
354	720469	91327
355	721659	89193
356	722930	87075
357	724384	84983
358	725670	82875
359	726948	80772
360	728122	78661
361	729467	76573
362	730705	74479
363	731939	72389
364	733223	70309
365	734727	68253
366	735880	66169
367	737074	64093
368	738169	62014
369	739132	59929
370	740104	57851
371	741112	55782
372	742070	53715
373	742863	51642
374	743657	49577
375	744488	47520
376	745318	45470
377	746043	43420
378	746759	41377
379	747549	39344
380	748204	37312
381	748906	35288
382	749659	33274
383	750413	31267
384	751157	29265
385	751843	27268
386	752610	25281
387	753341	23299
388	754034	21322
389	754773	19353
390	755453	17388
391	756301	15434
392	756966	13482
393	757490	11535
394	757956	9594
395	758469	7661
396	758967	5735
397	759438	3816
398	759893	1904
399	760284	0
